Name	Hint
Mahatma Gandhi	Led India's independence movement through non-violent civil disobedience
Jawaharlal Nehru	India's first Prime Minister; delivered the Tryst with Destiny speech on August 15, 1947
Indira Gandhi	India's first and only female Prime Minister; declared Emergency in 1975
B.R. Ambedkar	Chief architect of the Indian Constitution; champion of Dalit rights
Subhas Chandra Bose	Formed the Indian National Army and rallied support from Axis powers for Indian independence
Nelson Mandela	Spent 27 years in prison before becoming South Africa's first Black president
Winston Churchill	Led Britain through World War II; famous for his wartime speeches on fighting on the beaches
Adolf Hitler	Led Nazi Germany into World War II; responsible for the Holocaust
Abraham Lincoln	US President who issued the Emancipation Proclamation abolishing slavery in 1863
Barack Obama	First African-American President of the United States; won Nobel Peace Prize in 2009
John F. Kennedy	US President assassinated in Dallas in November 1963; initiated the Space Race
Franklin D. Roosevelt	Led the US through the Great Depression and World War II; served four terms
Mao Zedong	Founded the People's Republic of China in 1949 after a communist revolution
Vladimir Lenin	Led the Bolshevik Revolution of 1917 and established the Soviet Union
Joseph Stalin	Ruled the Soviet Union with an iron fist; presided over collectivization and the Gulag
Margaret Thatcher	Britain's first female Prime Minister; known as the Iron Lady
Angela Merkel	Germany's Chancellor for 16 years; the most powerful woman in European politics
Xi Jinping	China's President since 2013; consolidated power by abolishing presidential term limits
Vladimir Putin	Ruled Russia since 2000; annexed Crimea in 2014 and launched Ukraine invasion in 2022
Donald Trump	US President who was impeached twice; became the first convicted felon to win re-election
Narendra Modi	India's Prime Minister since 2014; former Chief Minister of Gujarat
Atal Bihari Vajpayee	India's first non-Congress PM to complete a full term; known for poetic oratory
P.V. Narasimha Rao	Initiated India's 1991 economic liberalization alongside Finance Minister Manmohan Singh
Manmohan Singh	Economist who as Finance Minister opened India's economy; later served two terms as PM
Lal Bahadur Shastri	India's second PM who declared Jai Jawan Jai Kisan; died mysteriously in Tashkent in 1966
Periyar	Tamil social reformer who launched the Self-Respect Movement and opposed caste hierarchy
M. Karunanidhi	Tamil Nadu CM for five terms; prolific writer and leader of DMK for six decades
J. Jayalalithaa	Tamil Nadu CM who rose from actress to dominant political force; known as Amma
Nelson Mandela's Freedom Walk	He walked free from Victor Verster Prison in February 1990 after 27 years
The Iron Curtain	Churchill's term for the ideological and physical division between Western and Soviet Europe
Cold War	Decades-long ideological standoff between the USA and USSR without direct armed conflict
Berlin Wall	Built in 1961 to divide East and West Berlin; fell in November 1989
Cuban Missile Crisis	1962 standoff between the US and USSR over Soviet missiles placed in Cuba
The Emergency	Indira Gandhi suspended civil liberties across India from 1975 to 1977
Article 370	Constitutional provision granting special status to Jammu and Kashmir; abrogated in 2019
Brexit	The United Kingdom's 2016 referendum decision to leave the European Union
Partition of India	1947 division of British India into India and Pakistan; caused one of the largest migrations in history
Non-Aligned Movement	Cold War bloc of nations refusing alignment with either the US or Soviet Union; India was a founder
Pokhran Tests	India's nuclear weapons tests conducted in 1974 and again in 1998 under Vajpayee
Universal Declaration of Human Rights	1948 UN document outlining fundamental rights of all human beings
Watergate Scandal	1970s US political scandal that forced President Nixon to resign from office
Apartheid	South Africa's institutionalized racial segregation system abolished in the early 1990s
The Arab Spring	Series of pro-democracy uprisings across the Arab world beginning in 2010
Tiananmen Square	1989 pro-democracy protests in Beijing violently suppressed by the Chinese government
Glasnost and Perestroika	Gorbachev's policies of openness and restructuring that led to the Soviet Union's collapse
The Marshall Plan	US program to aid Western Europe's economic recovery after World War II
Salt March	Gandhi's 241-mile march to Dandi in 1930 to protest British salt taxes
Rohingya Crisis	Ethnic cleansing of a Muslim minority in Myanmar that created a massive refugee crisis
Treaty of Versailles	1919 peace treaty ending World War I that imposed heavy reparations on Germany
UN Security Council	Five permanent member nations hold veto power; key global decision-making body
