Word	Hints  
Kacha	Son Of Brihaspati. He Was Sent By Devas To Sukracharyas Ashram To Learn About Mrita Sanjeevani Mantra.
Abhimanyu	The Son Of Third Pandava Prince Arjuna And Yadava Princess Subhadra.
Adhiratha	The Foster Father Of Karna And The Charioteer Of Bheeshma.
Adrika	An Apsara, Who Was Cursed To Become A Fish And Only To Be Liberated When She Gives Birth To A Human.
Agni	Hindu God Of Fire, Son Of Aditi And Kashyapa, And Husband Of Svaha.
Alambusha	Rakshasa And A Brother Of Baka. In The Kurukshetra War, He Fought From The Kaurava Side.
Amba	Eldest Daughter Of Kashya, The King Of Kashi And The Sister Of Ambika And Ambalika.
Ambalika	Daughter Of Kashya, The King Of Kashi, And Wife Of Vichitravirya, The King Of Hastinapur.
Ambika	Daughter Of Kashya, The King Of Kashi, And Wife Of Vichitravirya, The King Of Hastinapura.
Anjanaparvana	Son Of Ghatotkacha And Mourvi. His Grandparents Were Bhima And Hidimbā.
Arjuna	Considered As Chief Protagonist In Mahabharata.
Arshi	Shakunis Wife Was The Queen Of Gandhar And The Mother Of Uluka, Vrikaasur, And Vriprachitti.
Aruni	Disciple Of Sage Named Dhaumya. Stopped A Flood.
Ashvins	Pair Of Twin Gods. Their Father Is Surya And His Mother Is Saranyu.
Ashwatthama	Son Of Guru Drona And The Grandson Of The Sage Bharadwaja.
Astika	Rishi, And Son Of Jaratkaru By The Serpent Goddess Manasa – A Sister Of The Great Serpent King Vasuki.
Avantini	Wife Of Shalya And The Mother Of Madranjaya, Rukmanagada, And Rukmanaratha.
Ayodhaumya	Sage Of Avanti. He Had Three Disciples Namely Aruni Of Panchal, Upamanyu And Veda.
Ayu	Ancestor Of Shantanu. He Was A Son Pururavas And His Apsara Wife, Urvashi.
Babruvahana	Sons Of Arjuna, Begotten Through Chitrangada, The Princess Of Manipur.
Bahlika	The King Of Bahlika Kingdom In The Mahabharata, The Elder Brother Of Shantanu
Bakasura	Demon Who Was Killed By Bhima Near The City Of Ekacakrā.
Balarama	Elder Brother Of Krishna.
Banasena	Son Of Karna. He Was An Excellent Mace-Wielder.
Bhadra and Madira	Two Wives Of Vasudeva, The Others. Being Rohini Devi And Devaki.
Bhagadatta	Son Of Naraka, King Of The Pragjyotisha Kingdom
Bhanu	Son Of Shri Krishna And Satyabhama. He Was The Father Of Bhanumati
Bhanumati	Duryodhanas Wife
Bharadwaja	One Of The Sons Of God Brihaspati.
Bharata	Ancestor Of The Pandavas And The Kauravas
Bhima	2Nd Born Of The Pandavas. He Was The Son Of Pandu And Kunti And Spiritual Son Of Vayu.
