Word	Hint
Aghasura	The massive python demon whose mouth looked like a mountain cave.
Airavata	The white elephant of Indra that bowed down to Krishna.
Aristasura	The fierce bull demon who attacked Vrindavan.
Arjuna	The great archer and devotee to whom Krishna spoke the Bhagavad Gita.
Bakasura	The giant crane demon who opened his beak to swallow Krishna.
Balarama	Krishna’s elder brother who carries a plow and represents spiritual strength.
Bansuri	Krishna’s flute that creates music so sweet it enchants all living beings.
Barsana	The birthplace and home of Srimati Radharani.
Bhishma	The "Grandsire" of the Kuru dynasty and a great devotee who chose to leave his body while looking at Krishna.
Brahmanda Ghat	The spot by the river where Yashoda saw the universe in Krishna's mouth.
Chakora	The bird that lives only on moonlight, often compared to devotees longing for Krishna.
Deer	The animals of Vrindavan that would stand still like statues when they heard the flute.
Devaki	Krishna’s biological mother who was imprisoned by her brother Kansa.
Draupadi	The princess whom Krishna protected by providing an unlimited sari.
Dwarka	The magnificent golden city built in the middle of the ocean.
Gokul	The village where Krishna spent his earliest childhood years.
Gopas	The cowherd boys who played games and had picnics with Krishna every day.
Gopis	The cowherd girls of Vrindavan who taught the world the highest form of love.
Govardhan Hill	The sacred mountain that Krishna lifted with his little finger for seven days.
Hanuman	The great monkey devotee who appeared on Arjuna’s chariot flag to support Krishna.
Kadamba	The favorite tree of Krishna, often found near the banks of the Yamuna.
Kaliya	Name of a poisonous Snake living on the bank of Yamuna River.
Kamsa	Maternal Uncle of Sri Krishna and son of Ugrasena, also son-in-law of Jarasandha
Kamyaka	A forest is mentioned in Mahabharata being situated at the head of the Thar desert
Karna	Spiritual son of the Sun god and son of Kunti but adopted by Radha and Adiratha.
Kauravas	Descendant of Kuru, alternate name of sons of Dhritarashtra.
Kaustubha	The brilliant jewel that Krishna wears around His neck.
Kesava	Killer of the Kesi Demon
Krishna	The Supreme Personality of Godhead who appeared in Mathura and lived in Vrindavan.
Kritavarma	A notable Yadava warrior fighting on the side of Kaurava forces.
Kuchasthala	A city where Krishna stayed the night on his way to the court of Dhritarashtra.
Kunti	Mother of Pandavas, Daughter of Sura also known as Pritha.
Kurukshetra	The battlefield where the Bhagavad Gita was spoken.
Kuvalayapida	This elephant was killed by Lord
Madhumangala	Krishna’s funny friend who loved eating laddoos and cracking jokes.
Madhusudana	Another name of Krishna, the slayer of the asura Madhu.
Mahabharata	Epic where Bhagavat Gita was spoken
Maitreya	A sage who visited the court of Dhritarashtra, expressed sorrow at the Pandavas plight
Makhan	The fresh white butter that Krishna "stole" from the earthen pots.
Manigriva	Was cursed by Narada muni to become a tree
Mathura	The city where Krishna was born and where He later defeated Kansa.
Nanda	The King of Vraja and Krishna’s loving foster father.
Nandagram	The hilltop home of Nanda Baba and his family.
Panchajanya	Lord Krishna's conchshell
Panchajanya	The powerful conch shell that Krishna blows to signal victory.
Panchali	Another name of Draupadi
Pandu	Second son of Vichitravirya and Ambalika
Parrot	The birds in Vrindavan that constantly chant the names of Radha and Krishna.
Partha	Another name of Arjuna - Son of Prithu
Parthasarathi	Chariot driver for Arjuna
Pasupatastra	Irresistible and most destructive personal weapon of Shiva
Peacock	The bird that offered its feathers to Krishna out of pure joy.
Phalguna	Name of Arjuna - Related to month name
Pradyumna	Son of Krishna and Rukmini.
Purochana	An architect and friend of Duryodhana, who built a beautiful wax palace named Sivam in Varanavata.
Putana	The witch who tried to harm baby Krishna but was granted liberation instead.
Radharani	Krishna’s best friend and the most devoted of all the Gopis in Vrindavan.
Rajasuya	A sacrifice performed by a king to be entitled to assume the title of Emperor.
